"id","Nom","pop","type","c","p","e","s"
"14613","Saint-Marcouf",99,"c",,,"140000003",
"27195","Dame-Marie",99,"c","27578",,,
"61082","Le Chalange",99,"c",,,"200035103",
"61320","Orville",99,"c","61460",,,
"76505","Pommereux",99,"c",,,"760000003",
"14136","Cardonville",100,"c",,,"140000003",
"50169","Ecausseville",100,"c",,,"501000001",
"61271","Le Menil-Scelleur",100,"c",,,"246100655",
"76444","Mont-de-l'If",100,"c","76289",,,
"14718","Truttemer-le-Petit",101,"c","14762",,,
"76309","Gonzeville",101,"c",,,"760000005",
"14710","Treprel",102,"c",,,"241400514",
"50229","Hamelin",102,"c",,,"501000005",
"61064","Brullemail",102,"c",,,"200035103",
"61247","Maletable",102,"c","61230",,,
"76431","Le Mesnil-Lieubray",102,"c",,,"760000003",
"76643","Saint-Quentin-au-Bosc",102,"c","76618",,,
"14439","Monfreville",103,"c",,,"140000003",
"14633","Saint-Martin-du-Mesnil-Oury",103,"c","14371",,,
"27404","Mesnil-Rousset",103,"c",,,"270000004",
"61180","Fresnay-le-Samson",103,"c",,,"610000008",
"61441","Saint-Ouen-sur-Maire",103,"c","61153",,,
"61498","Vaunoise",103,"c",,,"610000002",
"61512","Les Yveteaux",103,"c",,,"246100390",
"76097","Biville-la-Riviere",104,"c",,,"760000006",
"76710","Tremauville",104,"c",,,"200010700",
"27334","Heudreville-en-Lieuvin",105,"c",,,"270000003",
"27651","Tournedos-sur-Seine",105,"c",,,"200035665",
"50529","Saint-Nicolas-des-Bois",105,"c",,,"501000005",
"14080","Le Bo",106,"c",,,"140000007",
"61354","Les Rotours",106,"c","61339",,,
"14116","Le Bu-sur-Rouvres",107,"c",,,"140000007",
"27596","Saint-Pierre-du-Mesnil",107,"c","27049",,,
"50062","Boisyvon",107,"c",,,"200043354",
"61090","Champs",107,"c","61491",,,
"14402","Le Marais-la-Chapelle",108,"c",,,"241400514",
"61010","Aubry-le-Panthou",108,"c",,,"610000008",
"61171","Fontaine-les-Bassets",108,"c",,,"610000009",
"61401","Saint-Gilles-des-Marais",108,"c",,,"610000006",
"61444","Saint-Philbert-sur-Orne",108,"c",,,"610000007",
"76053","Baillolet",108,"c",,,"247600604",
"76184","Colmesnil-Manneville",108,"c",,,"247600786",
"76353","Heberville",108,"c",,,"760000008",
"14091","Bourgeauville",109,"c",,,"241400878",
"14541","La Roque-Baignard",109,"c",,,"241400761",
"27471","Porte-Joie",109,"c",,,"200035665",
"50258","Joganville",109,"c",,,"501000001",
"50105","Catteville",110,"c",,,"501000001",
"61188","La Genevraie",110,"c",,,"610000008",
"61231","Longuenoe",110,"c",,,"246100663",
"61336","Pouvrai",110,"c",,,"610000002",
"14519","Preaux-Bocage",111,"c",,,"140000008",
"14741","Le Vey",111,"c",,,"140000007",
"61049","Boissei-la-Lande",111,"c",,,"200035111",
"61212","Juvigny-sur-Orne",111,"c",,,"610000009",
"14152","La Chapelle-Engerbold",112,"c","14174",,,
"14230","Drubec",112,"c",,,"241400761",
"14457","Les Moutiers-en-Auge",112,"c",,,"241400514",
"14743","Victot-Pontfol",112,"c",,,"241400761",
"61364","Saint-Aubert-sur-Orne",112,"c","61339",,,
"76623","Saint-Michel-d'Halescourt",112,"c",,,"760000003",
"27659","La Trinite",113,"c",,,"270000006",
"61048","Boece",113,"c",,,"200036069",
"61192","Godisson",113,"c",,,"610000008",
"61360","Saint-Agnan-sur-Sarthe",113,"c",,,"200035103",
"61500","La Ventrouze",113,"c",,,"610000004",
"76083","Bertheauville",113,"c",,,"760000008",
"14619","Sainte-Marie-Outre-l'Eau",114,"c",,,"140000006",
"27155","Chennebrun",114,"c",,,"270000005",
"27212","Ecauville",114,"c",,,"242700607",
"61066","Bure",114,"c",,,"200035103",
"61322","Parfondeval",114,"c",,,"200036069",
"61461","Le Sap-Andre",114,"c",,,"610000008",
"76356","Hermanville",114,"c",,,"760000006",
"76662","Sassetot-le-Malgarde",114,"c",,,"760000006",
"14553","Saint-Agnan-le-Malherbe",115,"c","14037",,,
"50211","Gouberville",115,"c","50142",,,
"76161","Carville-Pot-de-Fer",115,"c",,,"760000005",
"76171","La Chapelle-Saint-Ouen",116,"c",,,"760000003",
"14374","Les Loges",117,"c",,,"140000004",
"14404","Martainville",117,"c",,,"140000007",
"50284","Macey",117,"c","50410",,,
"76016","Anglesqueville-la-Bras-Long",117,"c",,,"760000008",
"76694","Tocqueville-en-Caux",117,"c",,,"760000006",
"14272","La Folie",118,"c",,,"140000003",
"50055","Biniville",118,"c",,,"501000001",
"50206","La Gohanniere",118,"c",,,"501000005",
"50223","Guehebert",118,"c",,,"500000003",
"61236","Louce",118,"c","61153",,,
"76084","Bertreville",118,"c",,,"760000008",
"76730","Veauville-les-Quelles",118,"c",,,"760000008",
"14238","Englesqueville-en-Auge",119,"c",,,"241400878",
"50479","Saint-Germain-de-Varreville",119,"c",,,"200042729",
"76042","Auvilliers",119,"c",,,"760000007",
"27173","Corneville-la-Fouquetiere",120,"c",,,"270000004",
"27484","Quessigny",120,"c","27277",,,
"76032","Auberville-la-Manuel",120,"c",,,"760000008",
"27418","Morsan",121,"c",,,"270000004",
"61185","Gemages",121,"c","61484",,,
"61372","Saint-Ceneri-le-Gerei",121,"c",,,"246100663",
"14105","La Breviere",122,"c","14576",,,
"27405","Mesnil-sous-Vienne",122,"c",,,"270000008",
"61039","La Belliere",122,"c",,,"200035111",
"61046","Bizou",122,"c",,,"610000004",
"14110","Brucourt",123,"c",,,"140000010",
